rank,naics_code,entity_name,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022,bls_establishments_2024,bls_employment_2024,bls_average_annual_pay_usd_2024,bls_employment_growth_pct_2024,bls_pay_growth_pct_2024,sba_size_standard_basis,sba_size_standard_value,sba_size_standard_display,employees_per_establishment,payroll_per_establishment_usd,employment_gap_ratio_bls_to_cbp,fragmentation,operating_complexity,willingness_to_pay,growth,market_scale,workflow_intensity,thesis_fit,software_wedge,rollup_wedge,confidence,workflow_matrix_industry_code,workflow_mapping_type,workflow_coverage_share_pct,workflow_frontline_operator_share_pct,workflow_knowledge_work_share_pct,workflow_documentation,workflow_coordination,workflow_compliance,workflow_care_service,workflow_top_occupations,recommended_move,summary,caveats
627,485112,Commuter Rail Systems,direct,485112,17,4049,412914000,101979.25,20,986,90742,-7.9,4.6,receipts_millions_usd,47.0,$47.00M,238.18,24289058.82,0.244,1.2,78.0,95.0,22.1,6.7,81.8,64.0,52.4,38.5,85.0,485100,numeric_parent,90.8,93.6,3.1,62.2,63.5,72.6,67.3,"Bus drivers, transit and intercity (55.4%)|Bus and truck mechanics and diesel engine specialists (5.9%)|Shuttle drivers and chauffeurs (4.7%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
628,333132,Oil and Gas Field Machinery and Equipment Manufacturing,direct,333132,626,29919,2458311000,82165.55,1308,46676,109559,-4.6,-2.5,employees,1250.0,"1,250 employees",47.79,3927014.38,1.56,33.7,53.6,79.8,8.7,48.8,70.0,69.0,52.3,52.1,85.0,3330A1,broad_parent,74.6,70.5,19.8,65.1,66.9,71.5,51.4,"Welders, cutters, solderers, and brazers (7.8%)|Machinists (4.1%)|Mechanical engineers (3.7%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
629,333514,"Special Die and Tool, Die Set, Jig and Fixture Manufacturing",direct,333514,2006,40862,2747824000,67246.44,2506,50581,74102,-3.8,3.8,employees,500.0,500 employees,20.37,1369802.59,1.238,54.5,49.8,31.4,24.6,55.4,74.7,69.0,52.3,49.8,90.0,333500,numeric_parent,89.8,80.1,11.9,64.5,65.9,72.3,48.9,Machinists (13.8%)|Computer numerically controlled tool operators (7.8%)|Tool and die makers (6.2%),monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
630,445230,Fruit and Vegetable Retailers,direct,445230,3906,19704,630116000,31979.09,3412,36310,37698,-0.3,2.3,receipts_millions_usd,9.0,$9.00M,5.04,161320.02,1.843,78.5,33.2,4.4,36.7,23.9,79.6,74.0,52.3,49.5,85.0,445000,broad_parent,96.2,97.1,0.7,55.4,59.0,58.5,54.9,Cashiers (28.3%)|Stockers and order fillers (20.1%)|First-line supervisors of retail sales workers (5.8%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
631,423140,Motor Vehicle Parts (Used) Merchant Wholesalers,direct,423140,1765,22892,1082596000,47291.46,2115,22798,62066,0.0,3.3,employees,125.0,125 employees,12.97,613368.84,0.996,60.5,44.2,12.4,43.2,33.0,78.4,75.0,52.3,46.1,90.0,423100,numeric_parent,90.4,85.7,6.0,66.9,67.0,68.6,56.4,"Sales representatives, wholesale and manufacturing, except technical and scientific products (7.9%)|Light truck drivers (7.8%)|Bus and truck mechanics and diesel engine specialists (7.3%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
632,562213,Solid Waste Combustors and Incinerators,direct,562213,73,2211,258423000,116880.6,186,4658,114813,-3.1,5.9,receipts_millions_usd,47.0,$47.00M,30.29,3540041.1,2.107,20.9,44.6,83.1,37.1,3.3,76.8,88.0,52.3,44.5,85.0,562200,numeric_parent,86.7,85.4,7.2,61.0,64.6,71.1,51.0,Refuse and recyclable material collectors (16.0%)|Heavy and tractor-trailer truck drivers (13.8%)|Operating engineers and other construction equipment operators (6.7%),monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
633,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",direct,326130,224,11949,798450000,66821.49,432,20189,73170,-0.6,7.4,employees,650.0,650 employees,53.34,3564508.93,1.69,19.8,68.9,51.1,54.7,20.5,77.8,65.0,52.2,37.3,85.0,326100,numeric_parent,83.4,85.5,8.4,65.0,66.9,72.4,53.3,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic (12.9%)|Extruding and drawing machine setters, operators, and tenders, metal and plastic (5.5%)|First-line supervisors of production and operating workers (5.3%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
634,424130,Industrial and Personal Service Paper Merchant Wholesalers,direct,424130,3858,66283,5794750000,87424.38,4994,64536,97166,-1.2,1.5,employees,150.0,150 employees,17.18,1502008.81,0.974,62.8,37.0,24.8,28.1,70.2,75.3,71.0,52.1,51.9,90.0,4240A3,broad_parent,91.1,78.4,6.8,65.5,66.8,67.6,55.2,"Sales representatives, wholesale and manufacturing, except technical and scientific products (12.3%)|Heavy and tractor-trailer truck drivers (10.5%)|Laborers and freight, stock, and material movers, hand (8.4%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
635,424120,Stationary and Office Supplies Merchant Wholesalers,direct,424120,3319,56672,3193006000,56341.86,3291,39033,62799,-2.9,0.9,employees,150.0,150 employees,17.08,962038.57,0.689,61.9,50.7,19.0,16.5,61.4,71.0,75.0,52.1,50.6,85.0,4240A2,broad_parent,89.5,68.7,13.4,67.9,69.0,66.4,54.8,"Sales representatives, wholesale and manufacturing, technical and scientific products (11.2%)|Sales representatives, wholesale and manufacturing, except technical and scientific products (9.6%)|General and operations managers (5.2%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
636,336340,Motor Vehicle Brake System Manufacturing,direct,336340,166,20411,1128393000,55283.57,231,20057,81481,-4.0,4.4,employees,1250.0,"1,250 employees",122.96,6797548.19,0.983,8.5,77.6,85.2,27.0,32.5,73.9,57.0,52.1,42.8,90.0,336300,numeric_parent,68.4,78.8,14.5,64.5,65.8,72.4,51.7,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic (4.6%)|First-line supervisors of production and operating workers (4.4%)|Inspectors, testers, sorters, samplers, and weighers (4.1%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
637,313210,Broadwoven Fabric Mills,direct,313210,260,13806,635592000,46037.38,366,18412,57619,-5.9,3.1,employees,1000.0,"1,000 employees",53.1,2444584.62,1.334,21.4,75.6,62.1,15.2,19.8,78.6,69.0,52.1,42.0,85.0,313000,broad_parent,91.3,89.2,5.9,62.2,64.4,71.1,51.7,"Textile winding, twisting, and drawing out machine setters, operators, and tenders (15.1%)|Textile knitting and weaving machine setters, operators, and tenders (10.6%)|Textile bleaching and dyeing machine operators and tenders (5.7%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
638,333921,Elevator and Moving Stairway Manufacturing,direct,333921,182,8198,608146000,74182.24,298,11391,92665,3.1,4.3,employees,1000.0,"1,000 employees",45.04,3341461.54,1.389,21.0,55.9,66.0,71.3,13.1,70.0,65.0,52.1,40.8,85.0,3330A1,broad_parent,74.6,70.5,19.8,65.1,66.9,71.5,51.4,"Welders, cutters, solderers, and brazers (7.8%)|Machinists (4.1%)|Mechanical engineers (3.7%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
639,325613,Surface Active Agent Manufacturing,direct,325613,116,6283,644187000,102528.57,154,4640,100317,2.6,0.3,employees,1100.0,"1,100 employees",54.16,5553336.21,0.739,14.7,59.2,79.1,54.0,11.8,75.1,65.0,52.1,40.3,90.0,3250A2,broad_parent,91.4,77.5,12.8,68.5,69.2,72.8,56.1,"Chemical equipment operators and tenders (11.5%)|Packaging and filling machine operators and tenders (10.2%)|Mixing and blending machine setters, operators, and tenders (7.8%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
640,327332,Concrete Pipe Manufacturing,direct,327332,144,5116,349509000,68316.85,254,9952,76403,3.1,4.6,employees,750.0,750 employees,35.53,2427145.83,1.945,22.0,57.6,50.9,73.5,6.5,79.6,65.0,52.1,37.4,85.0,327000,broad_parent,89.5,89.2,4.8,64.1,65.9,72.8,53.0,"Heavy and tractor-trailer truck drivers (18.4%)|Molders, shapers, and casters, except metal and plastic (5.3%)|Laborers and freight, stock, and material movers, hand (3.8%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
641,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",direct,334511,503,126086,12257410000,97214.68,1441,122462,131562,-3.9,2.5,employees,1350.0,"1,350 employees",250.67,24368608.35,0.971,18.5,71.4,94.2,17.0,83.5,54.4,37.0,50.1,52.1,90.0,334500,numeric_parent,73.7,37.3,46.9,71.3,71.0,72.3,49.7,"Software developers (8.1%)|Industrial engineers (3.9%)|Inspectors, testers, sorters, samplers, and weighers (3.0%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
642,525990,Other Financial Vehicles,direct,525990,1590,7252,1298382000,179037.78,3430,11562,232686,5.4,3.6,receipts_millions_usd,40.0,$40.00M,4.56,816592.45,1.594,71.3,3.9,55.8,76.3,22.7,58.1,20.0,45.9,52.1,85.0,525900,numeric_parent,70.3,35.0,29.0,75.9,74.4,68.1,54.6,General and operations managers (11.8%)|Financial managers (7.0%)|Accountants and auditors (6.9%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
643,221121,Electric Bulk Power Transmission and Control,direct,221121,364,19570,2959586000,151230.76,882,28910,145978,8.5,2.6,employees,950.0,950 employees,53.76,8130730.77,1.477,24.9,53.9,71.7,75.3,44.8,70.5,38.0,52.0,43.8,85.0,221100,numeric_parent,89.7,68.6,22.5,68.6,71.8,74.3,54.0,Electrical power-line installers and repairers (14.2%)|Power plant operators (5.1%)|Electrical engineers (5.0%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
644,332112,Nonferrous Forging,direct,332112,52,5695,415784000,73008.6,90,6871,86043,0.5,7.4,employees,950.0,950 employees,109.52,7995846.15,1.206,5.0,74.4,71.5,63.9,8.2,76.9,57.0,52.0,34.1,90.0,332000,broad_parent,85.9,84.5,8.3,63.7,65.3,71.6,51.4,"Welders, cutters, solderers, and brazers (7.7%)|Machinists (7.0%)|First-line supervisors of production and operating workers (4.8%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
645,541350,Building Inspection Services,direct,541350,7768,27326,1511294000,55306.08,8594,26746,69698,0.8,5.0,receipts_millions_usd,11.5,$11.50M,3.52,194553.81,0.979,87.6,20.2,10.4,60.7,40.7,44.5,48.0,47.1,52.0,90.0,541300,numeric_parent,84.9,19.3,68.7,72.9,74.4,73.8,48.1,"Civil engineers (11.7%)|Architects, except landscape and naval (5.5%)|Architectural and civil drafters (4.7%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
646,337920,Blind and Shade Manufacturing,direct,337920,329,11557,622602000,53872.29,488,8450,62356,-11.6,4.7,employees,1000.0,"1,000 employees",35.13,1892407.29,0.731,30.0,64.4,59.1,20.6,16.8,78.2,69.0,51.9,43.7,90.0,337900,numeric_parent,59.1,87.8,4.1,62.5,64.8,66.8,53.2,"Sewing machine operators (12.5%)|Laborers and freight, stock, and material movers, hand (4.7%)|Sales representatives, wholesale and manufacturing, except technical and scientific products (3.7%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
647,541720,Research and Development in the Social Sciences and Humanities,direct,541720,2108,47944,4032573000,84110.07,6238,68736,94805,0.7,3.2,receipts_millions_usd,28.0,$28.00M,22.74,1912985.29,1.434,53.3,44.2,55.2,48.9,62.4,44.9,34.0,48.0,51.9,85.0,541720,exact_code,70.5,19.6,65.0,76.2,72.7,65.0,53.5,"Social science research assistants (10.0%)|General and operations managers (5.9%)|Office clerks, general (5.2%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
648,711219,Other Spectator Sports,direct,711219,3100,16302,1160342000,71177.89,4158,22934,71739,5.6,6.2,receipts_millions_usd,16.5,$16.50M,5.26,374303.87,1.407,76.4,23.1,21.0,88.7,30.2,62.8,48.0,51.8,51.8,85.0,711200,numeric_parent,88.6,56.8,33.2,64.9,69.5,65.7,59.8,Coaches and scouts (8.6%)|Athletes and sports competitors (7.7%)|Amusement and recreation attendants (6.7%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
649,333515,Cutting Tool and Machine Tool Accessory Manufacturing,direct,333515,1094,24529,1592074000,64905.78,1101,20765,74647,-1.9,4.3,employees,500.0,500 employees,22.42,1455277.88,0.847,47.8,51.7,32.3,35.8,40.4,74.7,69.0,51.8,45.6,90.0,333500,numeric_parent,89.8,80.1,11.9,64.5,65.9,72.3,48.9,Machinists (13.8%)|Computer numerically controlled tool operators (7.8%)|Tool and die makers (6.2%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
650,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,direct,336415,34,36373,4586083000,126084.82,93,19564,116455,9.7,2.3,employees,1250.0,"1,250 employees",1069.79,134884794.12,0.538,0.3,74.3,90.8,74.7,59.7,61.5,37.0,51.8,44.1,85.0,336400,numeric_parent,79.1,52.7,37.5,70.4,69.3,75.0,48.9,"Aircraft structure, surfaces, rigging, and systems assemblers (5.4%)|Aerospace engineers (4.7%)|Software developers (4.5%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
651,335931,Current‑Carrying Wiring Device Manufacturing,direct,335931,390,23969,1533824000,63991.99,570,29006,89400,-0.3,9.3,employees,600.0,600 employees,61.46,3932882.05,1.21,24.0,64.9,51.2,59.0,39.3,69.5,61.0,51.8,40.4,90.0,335900,numeric_parent,63.1,67.5,21.6,68.1,69.0,72.6,51.8,"Inspectors, testers, sorters, samplers, and weighers (3.9%)|First-line supervisors of production and operating workers (3.8%)|Extruding and drawing machine setters, operators, and tenders, metal and plastic (3.1%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
652,331523,Nonferrous Metal Die-Casting Foundries,direct,331523,321,28481,1702245000,59767.74,302,20538,67559,-6.4,3.8,employees,700.0,700 employees,88.73,5302943.93,0.721,17.8,80.6,57.1,18.4,43.4,78.0,61.0,51.8,39.8,90.0,331500,numeric_parent,91.9,87.6,7.3,63.5,64.6,72.0,50.4,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic (13.0%)|Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic (8.3%)|Foundry mold and coremakers (8.2%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
653,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",direct,314994,130,6371,367458000,57676.66,161,5064,63051,-3.0,5.1,employees,1000.0,"1,000 employees",49.01,2826600.0,0.795,17.1,71.0,63.9,34.8,8.2,77.8,69.0,51.8,39.1,90.0,314000,broad_parent,86.7,89.6,4.7,59.6,62.4,66.0,51.3,"Sewing machine operators (24.7%)|Textile winding, twisting, and drawing out machine setters, operators, and tenders (5.9%)|First-line supervisors of production and operating workers (4.6%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
654,212322,Industrial Sand Mining,direct,212322,207,5612,469740000,83702.78,250,8754,84065,17.0,1.0,employees,750.0,750 employees,27.11,2269275.36,1.56,27.7,50.2,50.2,72.6,8.8,81.8,62.0,51.8,38.9,85.0,212300,numeric_parent,92.9,91.6,2.2,63.0,69.2,75.1,57.1,"Excavating and loading machine and dragline operators, surface mining (15.4%)|Heavy and tractor-trailer truck drivers (10.0%)|Operating engineers and other construction equipment operators (9.9%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
655,331512,Steel Investment Foundries,direct,331512,112,14381,929988000,64667.83,120,10989,72827,-0.4,5.3,employees,1050.0,"1,050 employees",128.4,8303464.29,0.764,6.0,82.5,80.7,51.9,24.2,78.0,33.0,51.8,38.0,90.0,331500,numeric_parent,91.9,87.6,7.3,63.5,64.6,72.0,50.4,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic (13.0%)|Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic (8.3%)|Foundry mold and coremakers (8.2%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
656,331222,Steel Wire Drawing,direct,331222,219,14714,933736000,63459.02,256,10081,69856,-4.1,2.5,employees,1000.0,"1,000 employees",67.19,4263634.7,0.685,16.7,74.7,69.8,16.1,24.8,78.4,65.0,51.7,40.9,85.0,331200,numeric_parent,90.5,87.0,6.7,64.9,65.7,72.4,52.6,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic (7.3%)|First-line supervisors of production and operating workers (5.8%)|Multiple machine tool setters, operators, and tenders, metal and plastic (5.5%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
657,486910,Pipeline Transportation of Refined Petroleum Products,direct,486910,660,8723,1128473000,129367.53,548,5996,135732,-19.2,0.9,employees,1500.0,"1,500 employees",13.22,1709807.58,0.687,50.9,25.4,76.3,3.2,22.2,77.6,52.0,47.8,51.7,85.0,486900,numeric_parent,76.8,84.9,8.6,65.1,66.7,75.1,50.4,"Petroleum pump system operators, refinery operators, and gaugers (28.5%)|Heavy and tractor-trailer truck drivers (12.4%)|Industrial machinery mechanics (6.8%)",monitor,"There is some structural promise here, but the current evidence is not strong enough for a first move.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
658,811420,Reupholstery and Furniture Repair,direct,811420,3263,11225,444357000,39586.37,3494,12683,47474,-3.9,4.2,receipts_millions_usd,9.0,$9.00M,3.44,136180.51,1.13,79.3,28.4,3.8,26.2,14.0,80.3,86.0,51.6,48.3,90.0,811400,numeric_parent,90.9,91.4,1.4,63.4,65.4,68.3,52.0,Home appliance repairers (14.2%)|Motorboat mechanics and service technicians (6.5%)|General and operations managers (5.9%),monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
659,115310,Support Activities for Forestry,direct,115310,1979,15609,936850000,60019.86,3158,22280,71452,6.6,11.9,receipts_millions_usd,11.5,$11.50M,7.89,473395.65,1.427,68.6,28.9,16.2,95.7,25.4,59.3,58.0,51.6,47.7,85.0,115000,broad_parent,80.2,35.4,14.6,65.7,68.6,70.7,55.6,"Farmworkers and laborers, crop, nursery, and greenhouse (12.3%)|Farmers, ranchers, and other agricultural managers (6.6%)|Graders and sorters, agricultural products (5.4%)",monitor,"Momentum is present, but the buyer-quality signals are still mixed.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
